"Outcome","EventTime","Arm","Estimate","Lower","Upper"
"HRIC distance to personal baseline",56,"Control",1.90024768451109,1.79413488351974,2.00636048550244
"HRIC distance to personal baseline",56,"Auto-FMT",1.75045446221031,1.41479394155582,2.0861149828648
"HRIC distance to personal baseline",57,"Control",1.89734746527892,1.78705274695968,2.00764218359816
"HRIC distance to personal baseline",57,"Auto-FMT",1.7552029518622,1.40974135770056,2.10066454602384
"HRIC distance to personal baseline",58,"Control",1.89444724604675,1.77989757322901,2.00899691886449
"HRIC distance to personal baseline",58,"Auto-FMT",1.75995144151408,1.40460261954421,2.11530026348396
"HRIC distance to personal baseline",59,"Control",1.89154702681458,1.77267720518259,2.01041684844658
"HRIC distance to personal baseline",59,"Auto-FMT",1.76469993116597,1.39938472229823,2.13001514003371
"HRIC distance to personal baseline",60,"Control",1.88864680758241,1.7653984982811,2.01189511688373
"HRIC distance to personal baseline",60,"Auto-FMT",1.76944842081786,1.39409397139065,2.14480287024506
