"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AM747382.1.1283",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM779755.1.1802",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM990656.1.1426",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"AM990657.1.1462",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AM990836.1.1468",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AM997299.1.1488",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM997313.1.1476",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM997335.1.1479",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM997436.1.1474",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM997449.1.1494",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM997469.1.1480",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM997713.1.1475",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM997730.1.1486",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AM997760.1.1457",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM997765.1.1455",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AM997774.1.1464",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AM997826.1.1405",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"AM997863.1.1481",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AM997919.1.1471",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AMRV01000034.30.1498",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
